País,Agricultura,Indústria,Serviços,Nota
Afghanistan,23,"21.1","55.9",data exclude opium production
Albania,"21.7","24.2","54.1",
Algeria,"13.3","39.3","47.4",
American Samoa,"27.4","12.4","60.2",
Andorra,"11.9","33.6","54.5",
Angola,"10.2","61.4","28.4",
Anguilla,3,"10.5","86.4",
Antigua and Barbuda,"1.8","20.8","77.3",
Argentina,"10.8","28.1","61.1",
Armenia,"16.7","28.2","54.8",
Aruba,"0.4","33.3","66.3",
Australia,"3.6","25.3","71.2",
Austria,"1.3","28.4","70.3",
Azerbaijan,"6.1","53.5","40.4",
"Bahamas, The","2.3","7.7",90,
Bahrain,"0.3","39.3","60.4",
Bangladesh,"14.2","29.3","56.5",
Barbados,"1.5","9.8","88.7",
Belarus,"8.1","40.8","51.1",
Belgium,"0.7","22.1","77.2",
Belize,"10.3","21.6",68,
Benin,"26.1","22.8","51.1",
Bermuda,"0.9","5.3","93.8",
Bhutan,"16.2","41.8",42,
Bolivia,"13.8","37.8","48.2",
Bosnia and Herzegovina,"6.8","28.9","64.3",
Botswana,"1.8","27.5","70.6",
Brazil,"6.6","20.7","72.7",
British Virgin Islands,"0.2","6.8","93.1",
Brunei,"1.2","56.6","42.3",
Bulgaria,"4.3",28,"67.4",
Burkina Faso,31,"23.9","44.9",
Burma,"24.1","35.6","40.3",
Burundi,"39.5","16.4","44.2",
Cabo Verde,"8.9","17.5","73.7",
Cambodia,"25.3","32.8","41.9",
Cameroon,"16.7","26.5","56.8",
Canada,"1.6","28.2","70.2",
Cayman Islands,"0.3","7.4","92.3",
Central African Republic,"43.2",16,"40.8",
Chad,"52.3","14.7","33.1",
Chile,"4.2","32.8",63,
China,"7.9","40.5","51.6",
Colombia,"7.2","30.8","62.1",
Comoros,"47.7","11.8","40.5",
"Congo, Democratic Republic of the","19.7","43.6","36.7",
"Congo, Republic of the","9.3",51,"39.7",
Cook Islands,"5.1","12.7","82.1",
Costa Rica,"5.5","20.6","73.9",
Cote d'Ivoire,"20.1","26.6","53.3",
Croatia,"3.7","26.2","70.1",
Cuba,4,"22.7","73.4",
Curacao,"0.7","15.5","83.8",
Cyprus,2,"12.5","85.5",
Czechia,"2.3","36.9","60.8",
Denmark,"1.3","22.9","75.8",
Djibouti,"2.4","17.3","80.2",
Dominica,"22.3","12.6","65.1",
Dominican Republic,"5.6",33,"61.4",
Ecuador,"6.7","32.9","60.4",
Egypt,"11.7","34.3",54,
El Salvador,12,"27.7","60.3",
Equatorial Guinea,"2.5","54.6","42.9",
Eritrea,"11.7","29.6","58.7",
Estonia,"2.8","29.2","68.1",
Eswatini,"6.5",45,"48.6",
Ethiopia,"34.8","21.6","43.6",
European Union,"1.6","25.1","70.9",
Falkland Islands (Islas Malvinas),41,"20.6","38.4",
Faroe Islands,18,39,43,
Fiji,"13.5","17.4","69.1",
Finland,"2.7","28.2","69.1",
France,"1.7","19.5","78.8",
French Polynesia,"2.5",13,"84.5",
Gabon,5,"44.7","50.4",
"Gambia, The","20.4","14.2","65.4",
Gaza Strip,3,"21.1",75,data exclude the West Bank
Georgia,"8.2","23.7","67.9",
Germany,"0.7","30.7","68.6",
Ghana,"18.3","24.5","57.2",
Gibraltar,0,0,100,
Greece,"4.1","16.9","79.1",
Greenland,"15.9","10.1","73.9",
Grenada,"6.8","15.5","77.7",
Guam,0,0,"58.4",SEM DADOS AGRICULTURA; SEM DADOS INDÚSTRIA
Guatemala,"13.3","23.4","63.2",
Guernsey,3,10,87,
Guinea,"19.8","32.1","48.1",
Guinea-Bissau,50,"13.1","36.9",
Guyana,"15.4","15.3","69.3",
Haiti,"22.1","20.3","57.6",
Honduras,"14.2","28.8",57,
Hong Kong,"0.1","7.6","92.3",
Hungary,"3.9","31.3","64.8",
Iceland,"5.8","19.7","74.6",
India,"15.4",23,"61.5",
Indonesia,"13.7",41,"45.4",
Iran,"9.6","35.3",55,
Iraq,"3.3",51,"45.8",
Ireland,"1.2","38.6","60.2",
Isle of Man,1,13,86,
Israel,"2.4","26.5","69.5",
Italy,"2.1","23.9","73.9",
Jamaica,7,"21.1","71.9",
Japan,"1.1","30.1","68.7",
Jersey,2,2,96,
Jordan,"4.5","28.8","66.6",
Kazakhstan,"4.7","34.1","61.2",
Kenya,"34.5","17.8","47.5",
Kiribati,23,7,70,
"Korea, North","22.5","47.6","29.9",
"Korea, South","2.2","39.3","58.3",
Kosovo,"11.9","17.7","70.4",
Kuwait,"0.4","58.7","40.9",
Kyrgyzstan,"14.6","31.2","54.2",
Laos,"20.9","33.2","45.9",
Latvia,"3.9","22.4","73.7",
Lebanon,"3.9","13.1",83,
Lesotho,"5.8","39.2","54.9",
Liberia,34,"13.8","52.2",
Libya,"1.3","52.3","46.4",
Liechtenstein,7,41,52,
Lithuania,"3.5","29.4","67.2",
Luxembourg,"0.3","12.8","86.9",
Macau,0,"6.3","93.7",
Macedonia,"10.9","26.6","62.5",
Madagascar,24,"19.5","56.4",
Malawi,"28.6","15.4",56,
Malaysia,"8.8","37.6","53.6",
Maldives,3,16,81,
Mali,"41.8","18.1","40.5",
Malta,"1.1","10.2","88.7",
Marshall Islands,"4.4","9.9","85.7",
Mauritania,"27.8","29.3","42.9",
Mauritius,4,"21.8","74.1",
Mexico,"3.6","31.9","64.5",
"Micronesia, Federated States of","26.3","18.9","54.8",
Moldova,"17.7","20.3",62,
Monaco,0,14,86,
Mongolia,"12.1","38.2","49.7",
Montenegro,"7.5","15.9","76.6",
Montserrat,"1.9","7.8","90.3",
Morocco,14,"29.5","56.5",
Mozambique,"23.9","19.3","56.8",
Namibia,"6.7","26.3",67,
Nauru,"6.1",33,"60.8",
Nepal,27,"13.5","59.5",
Netherlands,"1.6","17.9","70.2",
New Caledonia,"1.4","26.4","72.1",
New Zealand,"5.7","21.5","72.8",
Nicaragua,"15.5","24.4",60,
Niger,"41.6","19.5","38.7",
Nigeria,"21.1","22.5","56.4",
Niue,"23.5","26.9","49.5",
Northern Mariana Islands,"1.7","58.1","40.2",
Norway,"2.3","33.7",64,
Oman,"1.8","46.4","51.8",
Pakistan,"24.4","19.1","56.5",
Palau,3,19,78,
Panama,"2.4","15.7",82,
Papua New Guinea,"22.1","42.9",35,
Paraguay,"17.9","27.7","54.5",
Peru,"7.6","32.7","59.9",
Philippines,"9.6","30.6","59.8",
Poland,"2.4","40.2","57.4",
Portugal,"2.2","22.1","75.7",
Puerto Rico,"0.8","50.1","49.1",
Qatar,"0.2","50.3","49.5",
Romania,"4.2","33.2","62.6",
Russia,"4.7","32.4","62.3",
Rwanda,"30.9","17.6","51.5",
"Saint Helena, Ascension, and Tristan da Cunha",0,0,0,SEM DADOS AGRICULTURA; SEM DADOS INDÚSTRIA; SEM DADOS SERVIÇOS
Saint Kitts and Nevis,"1.1",30,"68.9",
Saint Lucia,"2.9","14.2","82.8",
Saint Martin,1,15,84,
Saint Pierre and Miquelon,2,15,83,
Saint Vincent and the Grenadines,"7.1","17.4","75.5",
Samoa,"10.4","23.6",66,
San Marino,"0.1","39.2","60.7",
Sao Tome and Principe,"11.8","14.8","73.4",
Saudi Arabia,"2.6","44.2","53.2",
Senegal,"16.9","24.3","58.8",
Serbia,"9.8","41.1","49.1",
Seychelles,"2.5","13.8","83.7",
Sierra Leone,"60.7","6.5","32.9",
Singapore,0,"24.8","75.2",
Sint Maarten,"0.4","18.3","81.3",
Slovakia,"3.8",35,"61.2",
Slovenia,"1.8","32.2","65.9",
Solomon Islands,"34.3","7.6","58.1",
Somalia,"60.2","7.4","32.5",
South Africa,"2.8","29.7","67.5",
Spain,"2.6","23.2","74.2",
Sri Lanka,"7.8","30.5","61.7",
Sudan,"39.6","2.6","57.8",
Suriname,"11.6","31.1","57.4",
Sweden,"1.6",33,"65.4",
Switzerland,"0.7","25.6","73.7",
Syria,20,"19.5","60.8",
Taiwan,"1.8",36,"62.1",
Tajikistan,"28.6","25.5","45.9",
Tanzania,"23.4","28.6","47.6",
Thailand,"8.2","36.2","55.6",
Timor-Leste,"9.1","56.7","34.4",
Togo,"28.8","21.8","49.8",
Tokelau,0,0,0,SEM DADOS AGRICULTURA; SEM DADOS INDÚSTRIA; SEM DADOS SERVIÇOS
Tonga,"19.9","20.3","59.8",
Trinidad and Tobago,"0.4","47.8","51.7",
Tunisia,"10.1","26.2","63.8",
Turkey,"6.8","32.3","60.7",
Turkmenistan,"7.5","44.9","47.7",
Turks and Caicos Islands,"0.5","8.9","90.6",
Tuvalu,"24.5","5.6",70,
Uganda,"28.2","21.1","50.7",
Ukraine,"12.2","28.6",60,
United Arab Emirates,"0.9","49.8","49.2",
United Kingdom,"0.7","20.2","79.2",
United States,"0.9","19.1",80,
Uruguay,"6.2","24.1","69.7",
Uzbekistan,"17.9","33.7","48.5",
Vanuatu,"27.3","11.8","60.8",
Venezuela,"4.7","40.4","54.9",
Vietnam,"15.3","33.3","51.3",
Virgin Islands,2,20,78,
Wallis and Futuna,0,0,0,SEM DADOS AGRICULTURA; SEM DADOS INDÚSTRIA; SEM DADOS SERVIÇOS
West Bank,"2.9","19.5","77.6",excludes Gaza Strip
Western Sahara,0,0,40,SEM DADOS AGRICULTURA; SEM DADOS INDÚSTRIA
World,"6.4",30,63,
Yemen,"20.3","11.8","67.9",
Zambia,"7.5","35.3",57,
Zimbabwe,12,"22.2","65.8",
